artist_id,artist_name,artist_name_normalized
art_c509288f7c2d,"Tra'zae Clinton, Ishan Cooper, Benjamin Lepage","tra'zae clinton, ishan cooper, benjamin lepage"
art_dab3997e8fee,"Tra'zae Clinton, Margaret Atyants, Cleome Bova, Chas Bronz, Ai Takeishi","tra'zae clinton, margaret atyants, cleome bova, chas bronz, ai takeishi"
art_497e2859f9a5,"Tra'zae Clinton, PVSO PAID","tra'zae clinton, pvso paid"
art_c5cdb6f14c17,"Tra'zae Clinton, Scottie Clinton, Brad Foutch","tra'zae clinton, scottie clinton, brad foutch"
art_8a4542940478,"Tra'zae Clinton, STEVE BOYD","tra'zae clinton, steve boyd"
art_4b831a1a6f2e,"Tra'zae Clinton, Tristano, Henry Ott","tra'zae clinton, tristano, henry ott"
art_c755222cb2e3,Trae Crowder,trae crowder
art_da26fc6c7a37,Trey Lewd,trey lewd
art_2728f9dccc48,TreyLewd,treylewd
art_723201cb1267,U.S. music with Funkadelic,u.s. music with funkadelic
art_348ee00c7034,Umar Bin Hassan,umar bin hassan
art_51cce90b6cdf,Various Artists,various artists
art_c0725e8878f8,Various Artists featuring Bootsy Collins / Bernie Worrell / Dennis Chambers,various artists featuring bootsy collins / bernie worrell / dennis chambers
art_38a09b92afdb,Various P-Funk members,various p-funk members
art_10c818e8f44a,Well Red,well red
art_bd622b0240d5,William Bootsy Collins,william bootsy collins
art_ca70918e5246,Willow,willow
art_3fc43ccf77de,Zapp,zapp
art_3bb50bbd867d,ZillaKami,zillakami
art_307475ed84a8,Zillatron (Bootsy Collins),zillatron (bootsy collins)
