work_id,artist_id,artist_name,work_name
wrk_f615e65cacc6,art_8b0eaa82feb2,Bootsy Collins,Bootsy off Broadway (feat. Emmaline & Frankie Kash Waddy)
wrk_d1e593fb3408,art_8b0eaa82feb2,Bootsy Collins,Bootzilla / Ahh… The Name Is Bootsy Baby
wrk_aec6a5f1c006,art_8b0eaa82feb2,Bootsy Collins,Bubble Pop (feat. ColdGameKelv & Fantaazma & Ice Cube)
wrk_fe7448f60b48,art_8b0eaa82feb2,Bootsy Collins,Candy Coated Lover (feat. Kali Uchis)
wrk_8419b8aed84f,art_8b0eaa82feb2,Bootsy Collins,Chicken & Fries (feat. Baby Triggy & Fantaazma)
wrk_929766507262,art_8b0eaa82feb2,Bootsy Collins,"Chocolate Caramel Angel (feat. Faith Daniels, Ronni Racket and Casper)"
wrk_cddfca03663b,art_8b0eaa82feb2,Bootsy Collins,Chug-A-Lug (The Bun Patrol)
wrk_ffd8a055bbe6,art_8b0eaa82feb2,Bootsy Collins,Club Funkateers (feat. Branford Marsalis & Victor Wooten)
wrk_e6232c4ddf2a,art_8b0eaa82feb2,Bootsy Collins,Come Back Bootsy (feat. Eric Gales & Dennis Chambers)
wrk_3749f9814f97,art_8b0eaa82feb2,Bootsy Collins,Cosmic Slop / Jam
wrk_b95f203adf51,art_8b0eaa82feb2,Bootsy Collins,Creepin' (feat. Christone Kingfish Ingram)
wrk_44da798f503b,art_8b0eaa82feb2,Bootsy Collins,Dance to the Music
wrk_f93f8ad9d436,art_8b0eaa82feb2,Bootsy Collins,Do The Freak
wrk_801cd31f9c5e,art_8b0eaa82feb2,Bootsy Collins,Don't Let 'Em
wrk_40f070aa215c,art_8b0eaa82feb2,Bootsy Collins,Don't Take My Funk (feat. Catfish Collins and Bobby Womack)
wrk_e7062807aef1,art_8b0eaa82feb2,Bootsy Collins,Ever Lost Your Lover
wrk_a441244c1267,art_8b0eaa82feb2,Bootsy Collins,F-Encounter
wrk_1aee0e57a170,art_8b0eaa82feb2,Bootsy Collins,Fat Cat
wrk_a7ef666faea7,art_8b0eaa82feb2,Bootsy Collins,Fishnets
wrk_b9ff79ef1675,art_8b0eaa82feb2,Bootsy Collins,Fragile (So Sensitive)
wrk_b1b862328e80,art_8b0eaa82feb2,Bootsy Collins,Freedumb (feat. Dr. Cornel West)
wrk_bcce8aa36528,art_8b0eaa82feb2,Bootsy Collins,"Fresh Outta ""P"" University"
wrk_87e694b3502e,art_8b0eaa82feb2,Bootsy Collins,Fresh Outta 'P' University
wrk_5486118261a0,art_8b0eaa82feb2,Bootsy Collins,Funk Ain't Broke
wrk_49f0e5bfd6a3,art_8b0eaa82feb2,Bootsy Collins,Funk Formula 1
wrk_046c1a8f216e,art_8b0eaa82feb2,Bootsy Collins,Funk Formula 1 (Intro)
wrk_a232785ccd59,art_8b0eaa82feb2,Bootsy Collins,Funk Not Fight
wrk_00bde263cead,art_8b0eaa82feb2,Bootsy Collins,Funk Not Fight (feat. Baby Triggy & Fantaazma)
wrk_754825914c64,art_8b0eaa82feb2,Bootsy Collins,Funkship
wrk_cda1e91064f2,art_8b0eaa82feb2,Bootsy Collins,Funkship Area-51 (feat. Christian McBride & Brother Nature)
wrk_d3236929bb18,art_8b0eaa82feb2,Bootsy Collins,Funktropolis (feat. Johnny Davis & Brother Nature)
wrk_eb5c0f2b5727,art_8b0eaa82feb2,Bootsy Collins,Funky and You Know It
